Country_number,Country_name,Libertad Economica,Temperatura media superficie (2021),Tasa de suicidios (/100.000hab),Poblacion percibe corrupcion,Density (P/Km2),Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Co2-Emissions,CPI,Fertility Rate,Forested Area (%),GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Labor force participation (%),Tax revenue (%),Unemployment rate,Urban_population,Latitude,Longitude,Renewables (% equivalent primary energy),Minimum wage,medianage
39 ,'Portugal'     ,754 ,1610 ,1163907 ,887 , 111 ,395 ,  92212 , 52000 , 850 ,  48742 ,11062 ,138 ,3460 , 237686075635 ,1062 , 639 , 31 ,813 , 10269417 ,588 ,228 , 633 ,  6753579 ,3939987   ,-822445   ,3270395 , 9910 ,46).
40 ,'Romania'      ,770 ,1035 ,1305893 ,938 ,  84 ,588 , 238391 ,126000 , 960 ,  69259 ,12378 ,171 ,3010 , 250077444017 , 852 , 494 , 61 ,754 , 19356544 ,547 ,146 , 398 , 10468793 ,4594316   ,2496676   ,1748103 , 6163 ,43).
41 ,'Slovenia'     ,723 ,1000 ,2815140 ,806 , 103 ,307 ,  20273 ,  7000 , 940 ,  12633 ,11105 ,160 ,6200 ,  53742159517 ,1004 , 786 , 17 ,810 ,  2087946 ,584 ,186 , 420 ,  1144654 ,4615124   ,1499546   ,1876845 ,12553 ,45).
42 ,'South Africa' ,653 ,1806 ,2371253 ,860 ,  49 ,798 ,1219090 , 80000 ,2051 , 476644 ,15893 ,241 , 760 , 351431649241 ,1009 , 224 ,285 ,639 , 58558270 ,560 ,275 ,2818 , 39149717 ,-3055948  ,2293751   , 340861 , 3511 ,28).
43 ,'Spain'        ,752 ,1431 , 753647 ,745 ,  94 ,526 , 505370 ,196000 , 790 , 244002 ,11096 ,126 ,3690 ,1394116310769 ,1027 , 889 , 25 ,833 , 47076781 ,575 ,142 ,1396 , 37927409 ,4046367   ,-374922   ,2234166 ,15687 ,45).
44 ,'Sri Lanka'    ,613 ,2740 ,1838990 ,863 , 341 ,437 ,  65610 ,317000 ,1583 ,  23362 ,15553 ,220 ,3290 ,  84008783756 ,1002 , 196 , 64 ,768 , 21803000 ,539 ,119 , 420 ,  4052088 ,787305    ,8077180   ,2140453 ,  787 ,34).
45 ,'Sweden'       ,781 , 308 ,1501253 ,237 ,  25 , 74 , 450295 , 30000 ,1140 ,  43252 ,11051 ,176 ,6890 , 530832908738 ,1266 , 670 , 22 ,825 , 10285453 ,646 ,279 , 648 ,  9021165 ,6012816   ,1864350   ,5092401 ,    0 ,41).
46 ,'Switzerland'  ,847 , 639 ,1891830 ,292 , 219 ,384 ,  41277 , 21000 ,1000 ,  34477 , 9955 ,152 ,3180 , 703082435360 ,1052 , 596 , 37 ,836 ,  8574832 ,683 ,101 , 458 ,  6332428 ,4681819   ,822751    ,3671664 ,34284 ,43).
47 ,'Thailand'     ,707 ,2690 , 892977 ,895 , 137 ,433 , 513120 ,455000 ,1034 , 283763 ,11327 ,153 ,3220 , 543649976166 , 998 , 493 , 78 ,769 , 69625582 ,673 ,149 ,  75 , 35294600 ,1587003   ,10099254  , 711362 , 3034 ,40).
48 ,'Ukraine'      ,617 , 937 ,3193023 ,924 ,  75 ,717 , 603550 ,297000 , 870 , 202250 ,28166 ,130 ,1670 , 153781069118 , 990 , 827 , 75 ,716 , 44385155 ,542 ,201 , 888 , 30835699 ,4837943   ,3116558   , 610084 , 2131 ,41).

